WARNING 2026-06-20 12:41:23,599 log 27064 23792 Bad Request: /api/ventas/
WARNING 2026-06-20 12:42:17,722 log 11036 20272 Not Found: /media/productos/agua-cielo-1L.png
WARNING 2026-06-20 12:42:17,723 log 11036 12900 Not Found: /media/productos/Aceite_SxYC2rM.png
WARNING 2026-06-20 12:42:17,724 basehttp 11036 20272 "GET /media/productos/agua-cielo-1L.png HTTP/1.1" 404 2639
WARNING 2026-06-20 12:42:17,724 basehttp 11036 12900 "GET /media/productos/Aceite_SxYC2rM.png HTTP/1.1" 404 2643
WARNING 2026-06-20 12:42:18,047 log 11036 12680 Not Found: /media/productos/Arroz_9GQbrr3.png
WARNING 2026-06-20 12:42:18,048 log 11036 17516 Not Found: /media/productos/agua-san-luis-625ml.png
WARNING 2026-06-20 12:42:18,049 basehttp 11036 12680 "GET /media/productos/Arroz_9GQbrr3.png HTTP/1.1" 404 2639
WARNING 2026-06-20 12:42:18,051 log 11036 22988 Not Found: /media/productos/arroz-extra-costeño5kg.png
WARNING 2026-06-20 12:42:18,052 basehttp 11036 17516 "GET /media/productos/agua-san-luis-625ml.png HTTP/1.1" 404 2663
WARNING 2026-06-20 12:42:18,052 basehttp 11036 22988 "GET /media/productos/arroz-extra-coste%C3%B1o5kg.png HTTP/1.1" 404 2683
WARNING 2026-06-20 12:42:18,088 log 11036 20164 Not Found: /media/productos/Aceite_SxYC2rM.png
WARNING 2026-06-20 12:42:18,088 basehttp 11036 20164 "GET /media/productos/Aceite_SxYC2rM.png HTTP/1.1" 404 2643
WARNING 2026-06-20 12:42:18,386 log 11036 20316 Not Found: /media/productos/Arroz_9GQbrr3.png
WARNING 2026-06-20 12:42:18,387 log 11036 25016 Not Found: /media/productos/agua-san-luis-625ml.png
WARNING 2026-06-20 12:42:18,388 log 11036 24988 Not Found: /media/productos/agua-cielo-1L.png
WARNING 2026-06-20 12:42:18,389 basehttp 11036 20316 "GET /media/productos/Arroz_9GQbrr3.png HTTP/1.1" 404 2639
WARNING 2026-06-20 12:42:18,388 log 11036 27416 Not Found: /media/productos/arroz-extra-costeño5kg.png
WARNING 2026-06-20 12:42:18,390 basehttp 11036 24988 "GET /media/productos/agua-cielo-1L.png HTTP/1.1" 404 2639
WARNING 2026-06-20 12:42:18,390 basehttp 11036 25016 "GET /media/productos/agua-san-luis-625ml.png HTTP/1.1" 404 2663
WARNING 2026-06-20 12:42:18,391 basehttp 11036 27416 "GET /media/productos/arroz-extra-coste%C3%B1o5kg.png HTTP/1.1" 404 2683
WARNING 2026-06-20 13:05:02,995 log 12092 19096 Not Found: /media/productos/agua-cielo-1L.png
WARNING 2026-06-20 13:05:02,996 log 12092 4136 Not Found: /media/productos/Aceite_SxYC2rM.png
WARNING 2026-06-20 13:05:02,997 basehttp 12092 19096 "GET /media/productos/agua-cielo-1L.png HTTP/1.1" 404 2639
WARNING 2026-06-20 13:05:02,997 basehttp 12092 4136 "GET /media/productos/Aceite_SxYC2rM.png HTTP/1.1" 404 2643
WARNING 2026-06-20 13:05:03,135 log 12092 17260 Not Found: /media/productos/agua-san-luis-625ml.png
WARNING 2026-06-20 13:05:03,136 log 12092 16180 Not Found: /media/productos/Arroz_9GQbrr3.png
WARNING 2026-06-20 13:05:03,137 log 12092 16236 Not Found: /media/productos/arroz-extra-costeño5kg.png
WARNING 2026-06-20 13:05:03,138 basehttp 12092 17260 "GET /media/productos/agua-san-luis-625ml.png HTTP/1.1" 404 2663
WARNING 2026-06-20 13:05:03,139 basehttp 12092 16180 "GET /media/productos/Arroz_9GQbrr3.png HTTP/1.1" 404 2639
WARNING 2026-06-20 13:05:03,139 basehttp 12092 16236 "GET /media/productos/arroz-extra-coste%C3%B1o5kg.png HTTP/1.1" 404 2683
WARNING 2026-06-20 13:05:15,682 log 12092 16132 Not Found: /media/productos/Aceite_SxYC2rM.png
WARNING 2026-06-20 13:05:15,683 log 12092 1960 Not Found: /media/productos/agua-cielo-1L.png
WARNING 2026-06-20 13:05:15,684 basehttp 12092 16132 "GET /media/productos/Aceite_SxYC2rM.png HTTP/1.1" 404 2643
WARNING 2026-06-20 13:05:15,684 basehttp 12092 1960 "GET /media/productos/agua-cielo-1L.png HTTP/1.1" 404 2639
WARNING 2026-06-20 13:05:18,552 log 12092 13840 Not Found: /media/productos/Aceite_SxYC2rM.png
WARNING 2026-06-20 13:05:18,552 log 12092 19260 Not Found: /media/productos/agua-cielo-1L.png
WARNING 2026-06-20 13:05:18,553 basehttp 12092 13840 "GET /media/productos/Aceite_SxYC2rM.png HTTP/1.1" 404 2643
WARNING 2026-06-20 13:05:18,554 basehttp 12092 19260 "GET /media/productos/agua-cielo-1L.png HTTP/1.1" 404 2639
WARNING 2026-06-20 13:05:18,877 log 12092 13600 Not Found: /media/productos/Arroz_9GQbrr3.png
WARNING 2026-06-20 13:05:18,881 basehttp 12092 13600 "GET /media/productos/Arroz_9GQbrr3.png HTTP/1.1" 404 2639
